"Gene.symbol","logFC","P.Value","adj.P.Val"
"Ankrd54",0.315,0.000579,0.0185
"Fgl1",-0.832,0.000583,0.0186
"Gigyf2",0.332,0.000584,0.0186
"St5",-0.674,0.000589,0.0187
"Akr1b7",-0.713,0.000596,0.0189
"Grcc10",0.253,0.000602,0.0191
"Fam89a",-0.601,0.000605,0.0191
"Uroc1",0.425,0.000606,0.0191
"Aste1",0.32,0.000607,0.0191
"Rab17",-0.442,0.000608,0.0191
"Gm10193///Zfp706",-0.297,0.000608,0.0191
"Vwa5a",-0.36,0.000611,0.0192
"Hacd3",-0.26,0.000612,0.0192
"Ccl9",-0.56,0.000613,0.0192
"Rps17",-0.269,0.000614,0.0192
"Hspd1",-0.237,0.000615,0.0192
"Pex11a",-0.577,0.000617,0.0192
"Nat8f1",0.743,0.00062,0.0193
"Adam11",-0.385,0.000622,0.0193
"Cxxc5",0.429,0.000623,0.0193
"Gm8894///Gm5526///Myl6",-0.271,0.000631,0.0196
"Fbxo3",-0.434,0.000632,0.0196
"Serpina1e///Serpina1c///Serpina1b",0.521,0.00064,0.0197
"Suclg2",-0.388,0.00064,0.0197
"Foxk2",0.31,0.000654,0.0201
"Acox2",-0.568,0.000656,0.0201
"Pcyt1a",-0.314,0.000657,0.0201
"Mrps17",-0.351,0.000658,0.0201
"Tmem51",-0.442,0.00066,0.0201
"C9",0.523,0.000664,0.0202
"Fastkd2",-0.552,0.000666,0.0203
"Usp34",0.298,0.000667,0.0203
"Elovl1",-0.3,0.000669,0.0203
"Zfr",-0.311,0.000675,0.0204
"Uap1",-0.414,0.000678,0.0205
"Tmem87a",-0.377,0.000678,0.0205
"Cyp2j9",0.41,0.000679,0.0205
"Parl",-0.298,0.000681,0.0205
"Polr2i",0.296,0.000683,0.0205
"Eif4ebp2",0.288,0.000684,0.0205
"Mettl9",-0.295,0.000685,0.0205
"Tomm70a",-0.438,0.00069,0.0206
"Fabp5",-0.881,0.00069,0.0206
"Ifna12///Ifna15///Ifna16///Ifnab///Ifna9///Ifna7///Ifna6///Ifna5///Ifna1",-0.256,0.00069,0.0206
"Mthfr",0.282,0.000695,0.0207
"Ubqln4",0.32,7e-04,0.0208
"Vcam1",-0.439,7e-04,0.0208
"Dnmt1",0.443,0.000702,0.0208
"Acss2",-0.521,0.000706,0.0209
"Ndufs1",-0.351,0.000707,0.0209
"Ighmbp2",0.287,0.000711,0.021
"Eci1",-0.288,0.000712,0.021
"Rnf7",-0.351,0.000715,0.0211
"Lcp1",0.36,0.00072,0.0212
"Tpm3",-0.314,0.000732,0.0215
"Cideb",-0.239,0.000734,0.0215
"Cetn3",-0.372,0.000739,0.0216
"Wac",0.281,0.000742,0.0216
"Hsd3b2",0.691,0.000742,0.0216
"Pglyrp2",-0.451,0.000745,0.0217
"H2-T9///H2-T22///H2-T10",-0.391,0.000756,0.0219
"Cisd1",-0.429,0.000762,0.0221
"Tlcd1",-0.463,0.000767,0.0222
"Map2k6",0.481,0.000772,0.0223
"Tubgcp2",-0.364,0.000782,0.0226
"D10Wsu102e",0.324,0.000784,0.0226
"Jak3",-0.324,0.000784,0.0226
"Sema6a",0.328,0.000787,0.0226
"Golga4",0.385,0.000788,0.0226
"Nenf",-0.359,0.00079,0.0227
"Cldn3",-0.47,0.000792,0.0227
"Aox3",0.608,0.000794,0.0227
"Cdc42",-0.545,0.000795,0.0227
"Zbtb2",0.414,0.000796,0.0227
"Tgds",-0.356,0.000797,0.0227
"Rabl3",-0.447,0.000799,0.0227
"Usp12",0.359,0.000802,0.0227
"Rbm39",0.374,0.000804,0.0227
"Olig1",-0.787,0.000804,0.0227
"Chd1l",-0.359,0.000805,0.0227
"Pdgfrb",-0.255,0.000805,0.0227
"Ackr3",-0.573,0.000806,0.0227
"Cfhr2",0.443,0.00081,0.0228
"Emp2",0.331,0.000815,0.0229
"S100a1",-0.308,0.000818,0.023
"Ppp1r3c",1.6,0.000819,0.023
"Dusp6",0.795,0.000822,0.0231
"Cul4b",-0.359,0.000827,0.0232
"Lrpprc",-0.305,0.000831,0.0232
"Sec24d",-0.264,0.000832,0.0232
"Camsap1",0.284,0.000834,0.0232
"Ndrg1",0.343,0.000837,0.0233
"Klhl7",-0.478,0.000837,0.0233
"Dtymk",-0.326,0.000838,0.0233
"Dock8",-0.481,0.000839,0.0233
"Pltp",-0.65,0.000843,0.0233
"Snurf///Snrpn",0.254,0.000843,0.0233
"S1pr1",0.384,0.000844,0.0233
"Rcbtb1",0.3,0.000846,0.0234
"Cdc16",-0.271,0.000853,0.0235
"Rpl22l1",-0.389,0.000855,0.0235
"Hipk2",0.267,0.000858,0.0236
"Serbp1",-0.289,0.000859,0.0236
"Opa3",0.252,0.00086,0.0236
"Srxn1",-0.336,0.000861,0.0236
"Spsb1",0.406,0.00087,0.0238
"Gm9840///Rbx1",-0.248,0.000873,0.0238
"Olfr65",0.303,0.000875,0.0238
"Capn10",0.311,0.000876,0.0238
"Ccdc90b",-0.468,0.000876,0.0238
"Zfp598",0.384,0.000879,0.0238
"Ankrd46",-0.465,0.000879,0.0238
"Rffl",0.367,0.000884,0.0238
"Cyp26a1",-0.831,0.000887,0.0239
"Gnai2",-0.266,0.000887,0.0239
"Suox",-0.487,0.000888,0.0239
"Rsrp1",-0.295,0.000892,0.0239
"Hamp",0.868,0.000892,0.0239
"Cfap36",-0.455,0.000893,0.0239
"Eif4e",-0.364,9e-04,0.024
"Pqlc1",-0.375,0.000901,0.024
"Pkdcc",0.389,0.000902,0.024
"Thumpd3",-0.354,0.000902,0.024
"Tk1",0.404,0.000907,0.0241
"Bin1",0.342,0.000926,0.0245
"Atp6v1b2",-0.401,0.000937,0.0248
"Ddx3x",0.273,0.000943,0.0249
"Dnajc17",-0.29,0.000944,0.0249
"Cyp2a5///Cyp2a4",-0.716,0.000947,0.0249
"Zfp207",0.316,0.000948,0.0249
"Nucks1",0.251,0.000949,0.0249
"Tmem135",-0.34,0.00095,0.0249
"Cyp4v3",0.426,0.000958,0.0251
"Rasd2",0.33,0.000959,0.0251
"Pik3ap1",0.285,0.00096,0.0251
"Galk1",-0.32,0.000961,0.0251
"Phkg2",0.264,0.000962,0.0251
"Ranbp3",0.229,0.000962,0.0251
"Fgfr2",0.455,0.000965,0.0251
"Pla1a",0.397,0.000968,0.0251
"Prpf38b",-0.377,0.000973,0.0252
"Coq5",-0.403,0.000979,0.0253
"Fam114a1",-0.449,0.000979,0.0253
"Gsn",0.465,0.000982,0.0254
"Hmgn1",-0.424,0.000985,0.0254
"Arhgef7",-0.29,0.00099,0.0255
"Top1mt",-0.369,0.000991,0.0255
"Slc16a2",-0.418,0.000995,0.0256
"Cdhr5",-0.363,0.000999,0.0256
"Pnpla2",-0.386,0.001,0.0257
"Dsp",0.401,0.001,0.0257
"F2r",-0.795,0.00101,0.0257
"Pard3",0.264,0.00101,0.0258
"Snrnp48",0.42,0.00101,0.0258
"Tlk2",0.353,0.00102,0.0259
"LOC102635048///Rpl12",-0.402,0.00102,0.0259
"Mpv17",-0.263,0.00102,0.0259
"Dcbld2",0.294,0.00102,0.0259
"Ndrg3",0.312,0.00103,0.0259
"Acot9",-0.645,0.00103,0.0259
"Cers2",-0.428,0.00103,0.0259
"Myl12b",-0.469,0.00103,0.0259
"Atp5k",-0.307,0.00103,0.0259
"Tcf25",0.268,0.00104,0.0259
"Usf2",0.32,0.00104,0.0259
"Zfp707",0.426,0.00104,0.0259
"Cs",-0.477,0.00104,0.0259
"Tmem109",-0.481,0.00104,0.026
"Aspdh",0.353,0.00106,0.0264
"Scoc",-0.292,0.00106,0.0264
"Boc",0.234,0.00107,0.0266
"Snapin",-0.582,0.00107,0.0266
"Nip7",0.317,0.00107,0.0266
"Mthfd1",-0.3,0.00107,0.0266
"Ugp2",-0.415,0.00108,0.0267
"Il1rap",0.253,0.00108,0.0267
"1110004E09Rik",0.28,0.00108,0.0267
"Thoc7",-0.421,0.00109,0.0268
"Papola",0.312,0.00109,0.0268
"Abhd17a",-0.284,0.00109,0.0268
"Ccdc47",-0.265,0.00109,0.0269
"Tst",-0.284,0.0011,0.027
"Irgm1",-0.484,0.00111,0.0271
"Nfx1",0.324,0.00111,0.0272
"Ptp4a3",-0.458,0.00111,0.0272
"Rcn2",-0.504,0.00112,0.0272
"Slc35f5",-0.355,0.00112,0.0273
"Nos1",0.255,0.00112,0.0274
"Slc35d1",-0.327,0.00113,0.0274
"Pfdn6",0.279,0.00113,0.0274
"Ugt2b5",0.286,0.00114,0.0276
"Bmp1",0.465,0.00114,0.0276
"Nr2f6",0.36,0.00114,0.0276
"Rps26",-0.254,0.00114,0.0276
"Nfix",0.276,0.00115,0.0279
"Car3",-1.19,0.00115,0.0279
"Gnb1",-0.401,0.00116,0.0279
"Tlr4",0.335,0.00116,0.0279
"Vegfa",0.282,0.00116,0.0279
"Hnrnpu",-0.49,0.00116,0.0279
"Npr2",0.462,0.00117,0.028
"Mrpl19",-0.367,0.00117,0.0281
"Nmnat1",0.671,0.00117,0.0281
"Snx6",-0.39,0.00118,0.0282
"Prmt3",0.261,0.00119,0.0282
"Abcb8",-0.297,0.00119,0.0282
"Csnk2a2",0.283,0.00119,0.0282
"Acsl4",-0.488,0.00119,0.0282
"Uty",-0.367,0.0012,0.0283
"Spr",0.325,0.0012,0.0283
"Mboat1",0.457,0.0012,0.0283
"Efr3a",0.341,0.0012,0.0283
"Cnot6",-0.319,0.0012,0.0283
"Arih2",0.306,0.0012,0.0283
"Mustn1",0.259,0.00121,0.0283
"Josd2",-0.344,0.00121,0.0283
"Gm9905",0.223,0.00121,0.0283
"Rpl31-ps12///Rpl31",-0.32,0.00121,0.0283
"Ebpl",-0.322,0.00121,0.0283
"Tgfbi",-0.412,0.00121,0.0283
"LOC100861978///Ccl27b///Gm2506///Gm13306///Ccl27a",0.405,0.00122,0.0285
"Edem3",-0.312,0.00123,0.0285
"Nr5a2",0.258,0.00123,0.0285
"Glo1",0.393,0.00123,0.0285
"Mtl5",0.296,0.00123,0.0285
"Cyp2c37",-0.739,0.00123,0.0286
"Muc3",0.423,0.00124,0.0286
"Sec22b",-0.302,0.00124,0.0286
"Bnip2",0.33,0.00124,0.0286
"Mesdc2",-0.256,0.00124,0.0286
"Atp13a3",0.365,0.00125,0.0287
"Wnk1",-0.255,0.00125,0.0287
"Mgll",-0.321,0.00125,0.0287
"Gata6",0.299,0.00125,0.0287
"Cx3cl1",0.3,0.00125,0.0287
"Lrrc59",-0.269,0.00127,0.029
"Alox12e",0.352,0.00127,0.029
"Memo1",0.256,0.00127,0.029
"Bmx",0.256,0.00127,0.029
"Auh",-0.248,0.00128,0.0291
"Chrm4",0.361,0.00128,0.0292
"Ttc1",0.29,0.00128,0.0292
"Rab2a",-0.437,0.00129,0.0292
"Jade1",0.323,0.0013,0.0294
"Arsg",-0.434,0.0013,0.0294
"Smek2",0.337,0.0013,0.0295
"Zdhhc12",-0.268,0.00131,0.0297
"Mfsd7c",-0.421,0.00131,0.0297
"Rcan1",-0.421,0.00131,0.0297
"Caprin1",-0.298,0.00132,0.0297
"Stat3",-0.343,0.00132,0.0297
"Stard3",0.299,0.00133,0.0298
"Kdm3a",0.409,0.00133,0.0299
"AI503316///Hnrnpu",0.306,0.00134,0.03
"Ypel3",0.261,0.00135,0.0301
"Nrep",-0.619,0.00135,0.0301
"Slc25a30",0.486,0.00135,0.0301
"Scpep1",-0.569,0.00135,0.0301
"LOC102638047///C130026I21Rik",-0.363,0.00135,0.0301
"Krtap12-1",0.337,0.00136,0.0301
"Hacd1",-0.425,0.00136,0.0301
"Sec61b",-0.281,0.00136,0.0301
"Scrn2",0.365,0.00136,0.0301
"Cyp3a44",-0.232,0.00136,0.0302
"Slc6a13",0.269,0.00137,0.0302
"Tha1",-0.334,0.00137,0.0302
"Cflar",0.381,0.00137,0.0302
"Cables2",0.288,0.00138,0.0303
"Cd320",0.248,0.00138,0.0303
"Stx7",-0.47,0.00138,0.0303
"Ttr",0.432,0.00138,0.0303
"Trim34a",-0.429,0.00138,0.0303
"Gpbp1l1",0.264,0.00139,0.0303
"H2-D1",-0.469,0.00139,0.0304
"Pfkm",0.307,0.0014,0.0305
"Tm2d2",0.327,0.0014,0.0305
"Hprt",-0.281,0.0014,0.0305
"Kansl1",0.335,0.00141,0.0305
"Slc6a6",0.281,0.00141,0.0305
"Tomm40",-0.324,0.00141,0.0305
"Adh4",0.481,0.00141,0.0305
"Zbtb12",0.379,0.00143,0.0309
"Tmem97",-0.541,0.00143,0.0309
"Clint1",-0.662,0.00144,0.031
"Tmem98",-0.477,0.00144,0.0311
"Serpinb6b",-0.432,0.00145,0.0313
"Galnt4",0.333,0.00145,0.0313
"Rtn3",-0.303,0.00147,0.0316
"Ngb",0.203,0.00147,0.0316
"Cpe",-0.476,0.00147,0.0316
"Itga3",0.242,0.00148,0.0316
"F10",-0.425,0.00148,0.0316
"Cox20",-0.434,0.00148,0.0316
"Ahctf1",0.352,0.00148,0.0316
"Bet1l",-0.25,0.00148,0.0316
"Ncor2",0.265,0.00148,0.0316
"H2-Aa",-0.272,0.00148,0.0316
"B4gat1",-0.222,0.00149,0.0317
"Grik2",0.297,0.00149,0.0317
"Npc1",-0.529,0.00149,0.0317
"Hexa",-0.413,0.00149,0.0317
"Ttc23",-0.316,0.0015,0.0318
"Plpp3",-0.439,0.0015,0.0318
"Mug1",0.328,0.00151,0.032
"Cnih1",-0.279,0.00151,0.032
"Pitpnm1",0.392,0.00152,0.032
"Fkbp5",0.363,0.00152,0.0321
"Bloc1s5",-0.377,0.00153,0.0322
"Pten",-0.223,0.00153,0.0322
"Rpl13-ps6///Rpl13",-0.261,0.00153,0.0323
"Mrap",-0.858,0.00154,0.0325
"Vdac1",-0.31,0.00155,0.0326
"Tra2b",-0.312,0.00155,0.0326
"Copz2",-0.366,0.00156,0.0326
"Utp3",0.267,0.00156,0.0327
"Sppl2a",0.452,0.00157,0.0327
"Pnp",-0.258,0.00157,0.0327
"Nap1l4",-0.257,0.00157,0.0327
"Setd6",0.313,0.00158,0.0329
"Sar1b",-0.299,0.00158,0.0329
"Osgin1",1.18,0.00159,0.033
"Tpsg1",0.289,0.00159,0.033
"Degs1",-0.323,0.00159,0.033
"Siva1",-0.311,0.00159,0.033
"Usp19",0.216,0.00159,0.033
"Nr2c2",0.279,0.0016,0.0331
"Vps11",0.465,0.0016,0.0331
"Zkscan1",0.408,0.00161,0.0332
"Wfs1",-0.288,0.00161,0.0332
"Nkiras1",-0.496,0.00161,0.0332
"Fam53c",0.278,0.00161,0.0332
"Mcm7",0.306,0.00161,0.0332
"Ppp1r12c",0.255,0.00162,0.0333
"Tcf7l1",0.228,0.00162,0.0333
"Pdia5",-0.433,0.00163,0.0334
"Gamt",-0.806,0.00163,0.0334
"Ajuba",-0.286,0.00164,0.0335
"Ank",-0.325,0.00164,0.0335
"Atad2b",0.375,0.00164,0.0335
"Gapdh-ps15///Gm12070///Gm5523///3000002C10Rik///Gapdh",-0.198,0.00165,0.0337
"Ctsz",-0.374,0.00166,0.0338
"Tnfaip8l1",-0.227,0.00166,0.0338
"Uros",-0.366,0.00166,0.0338
"Sap30",0.294,0.00167,0.0339
"Plaa",0.228,0.00168,0.0341
"Unc119b",0.262,0.00169,0.0342
"Mup5",-0.687,0.0017,0.0343
"Pa2g4",0.355,0.00171,0.0345
"Gm4604///Rpl36",-0.251,0.00171,0.0345
"Txn1",-0.247,0.00171,0.0345
"Gstm5",-0.321,0.00171,0.0345
"Polr2g",-0.339,0.00172,0.0345
"Aco1",-0.319,0.00172,0.0345
"Pnrc1",0.452,0.00172,0.0345
"Aldh1b1",-0.47,0.00172,0.0346
"Rab24",0.261,0.00173,0.0347
"Dhdds",-0.263,0.00173,0.0347
"Sparc",-0.394,0.00174,0.0347
"Cpsf3",-0.544,0.00174,0.0347
"Atp5a1",-0.26,0.00174,0.0347
"G6pc",-0.496,0.00174,0.0347
"Bcl10",0.276,0.00176,0.035
"Spcs2",-0.382,0.00177,0.0352
"Erlin1",-0.412,0.00177,0.0352
"Aamdc",-0.312,0.00178,0.0352
"Synpo",-0.33,0.00178,0.0352
"Anapc4",-0.306,0.00179,0.0353
"C1d",-0.407,0.00179,0.0353
"Areg",0.301,0.00179,0.0353
"Sult1a1",-0.438,0.00179,0.0353
"Tspo",-0.415,0.00179,0.0353
"Rev3l",0.253,0.0018,0.0354
"Opa1",0.278,0.0018,0.0354
"Ctnna1",-0.404,0.0018,0.0354
"Rps20",-0.413,0.00181,0.0354
"Eif4a1",-0.353,0.00181,0.0354
"Tdo2",0.259,0.00181,0.0354
"Atp6v0a1",-0.36,0.00181,0.0354
"Arl5a",0.389,0.00182,0.0355
"Ndufab1-ps///Ndufab1",-0.302,0.00184,0.0357
"Oxsm",0.307,0.00184,0.0357
"Pitrm1",-0.359,0.00185,0.036
"Zfp810",-0.423,0.00185,0.036
"Msh2",0.317,0.00186,0.036
"Rars2",-0.203,0.00187,0.0361
"Prkab1",0.318,0.00187,0.0362
"Ephx2",0.282,0.00189,0.0364
"Mkrn1",-0.43,0.00189,0.0364
"Pias2",0.347,0.00189,0.0365
"Pafah2",-0.269,0.0019,0.0365
"Hps4",-0.323,0.0019,0.0365
"Mogat2",-0.491,0.0019,0.0365
"Btbd1",0.213,0.00191,0.0367
"Tefm",-0.518,0.00192,0.0369
"Dnajc15",-0.389,0.00193,0.0369
"Pfkfb1",-0.295,0.00194,0.037
"Hnrnpdl",0.375,0.00194,0.037
"Lamp3///Ppid",-0.363,0.00194,0.037
"Lgals8",-0.367,0.00194,0.0371
"Gosr1",-0.333,0.00195,0.0371
"Zbp1",0.456,0.00195,0.0371
"Dna2",0.289,0.00195,0.0372
"Ccnk",0.239,0.00196,0.0373
"Tomm20",-0.522,0.00196,0.0373
"Vps41",-0.273,0.00197,0.0373
"Acox1",-0.262,0.00197,0.0373
"Prkag2",-0.301,0.00197,0.0373
"Dnajc5",0.267,0.00198,0.0375
"Nr4a3",0.246,0.00199,0.0375
"Rnf20",0.217,0.00199,0.0375
"Mccc1",-0.302,0.00199,0.0375
"Cd151",-0.565,0.00199,0.0375
"Lyplal1",-0.319,0.00199,0.0376
"Nit1",-0.369,0.002,0.0376
"LOC100862456///Polr2k",-0.282,0.002,0.0376
"Zfp764",0.319,0.00201,0.0378
"Gm44505///Zfp91///Cntf",0.288,0.00202,0.0378
"Kpnb1",-0.3,0.00202,0.0378
"Nectin3",0.465,0.00204,0.038
"Fech",0.231,0.00204,0.038
"Aif1l",0.26,0.00205,0.038
"Fam96a",-0.337,0.00205,0.038
"Errfi1",0.338,0.00205,0.038
"Lamtor2",0.255,0.00205,0.038
"C79468",0.232,0.00205,0.038
"Trex2",0.248,0.00205,0.038
"Dtx2",0.279,0.00205,0.038
"Acadm",-0.219,0.00205,0.038
"Sftpa1",0.361,0.00206,0.0381
"Ip6k1",0.226,0.00206,0.0381
"Ndufa10",-0.215,0.00207,0.0382
"Car5a",-0.436,0.00208,0.0383
"Kpna1",0.297,0.00208,0.0383
"Azin1",-0.338,0.00208,0.0383
"Dync1h1",0.274,0.00209,0.0383
"Cnn3",0.417,0.00209,0.0383
"BC022687",0.306,0.00209,0.0383
"S100b",0.272,0.0021,0.0385
"Pef1",-0.308,0.00211,0.0387
"Ptgr2",-0.373,0.00212,0.0388
"Ndufb6",-0.36,0.00212,0.0388
"Srrm1",0.294,0.00212,0.0388
"Dynll2",0.254,0.00213,0.0389
"Gm6917///Gm6901///Cbx3-ps5///Cbx3",0.261,0.00214,0.039
"Dcaf4",-0.335,0.00215,0.0392
"Nrip1",0.449,0.00216,0.0393
"Plekhf1",0.29,0.00216,0.0393
"Scn2a1",0.299,0.00216,0.0393
"Aldh7a1",-0.262,0.00216,0.0393
"Hdgfrp3",0.203,0.00218,0.0394
"Slc39a11",-0.287,0.00218,0.0394
"Rpa3",-0.315,0.00218,0.0394
"Tm2d3",0.305,0.00218,0.0394
"Higd1a",-0.296,0.00219,0.0395
"Dcaf5",0.24,0.00219,0.0395
"Trim37",0.274,0.0022,0.0396
"Letm1",-0.308,0.0022,0.0397
"Fam188a",0.24,0.00221,0.0398
"Vps37b",-0.315,0.00222,0.0399
"Apoh",0.239,0.00222,0.0399
"Brwd1",0.325,0.00222,0.0399
"Khdrbs1",-0.348,0.00223,0.04
"Slc15a4",-0.556,0.00223,0.04
"Smek1",0.237,0.00224,0.0401
"Pck1",0.362,0.00224,0.0401
"Ddx50",0.257,0.00224,0.0401
"4930453N24Rik",-0.398,0.00224,0.0401
"Gyg",-0.339,0.00225,0.0401
"Gm7285///Rps7",-0.26,0.00225,0.0401
"Sumo1",-0.241,0.00225,0.0401
"Rhobtb2",0.304,0.00225,0.0401
"Myl12a",-0.361,0.00226,0.0402
"Aadac",0.364,0.00226,0.0402
"Ngef",0.468,0.00227,0.0403
"Cpd",-0.438,0.00227,0.0403
"Mfhas1",0.417,0.00228,0.0403
"Sh3glb1",-0.236,0.00228,0.0403
"Tnpo3",0.27,0.00228,0.0404
"Mmachc",-0.467,0.00229,0.0404
"Myeov2",-0.263,0.00229,0.0405
"Ndufaf4",-0.424,0.0023,0.0405
"B9d2",0.289,0.0023,0.0405
"Zfand3",0.289,0.0023,0.0405
"Scrib",0.278,0.0023,0.0405
"Foxc2",0.217,0.0023,0.0405
"Dld",-0.359,0.00231,0.0407
"Tbl2",0.253,0.00231,0.0407
"Robo1",-0.366,0.00233,0.0408
"Tmcc2",0.225,0.00233,0.0408
"Xrcc4",-0.321,0.00234,0.0409
"Kansl2",0.253,0.00234,0.0409
"Epb41l4b",0.257,0.00236,0.0412
"Sart1",0.254,0.00236,0.0412
"Srp54c///Srp54b///Srp54a",-0.287,0.00237,0.0413
"Blmh",-0.413,0.00239,0.0414
"C030006K11Rik",0.335,0.00239,0.0414
"Erbb2ip",0.41,0.00239,0.0414
"Ppp2r1a",-0.376,0.00239,0.0414
"Thnsl2",-0.281,0.00239,0.0414
"Abat",-0.409,0.00241,0.0416
"Lancl1",-0.301,0.00242,0.0417
"Atp5f1",-0.308,0.00243,0.0418
"Alppl2",0.285,0.00243,0.0418
"Gm3362///Gm8290///Gm8264///Gm8158///Gm8137///Gm8112///Gm6177///Rpl23a",-0.256,0.00245,0.042
"Lce3c",0.22,0.00245,0.0421
"Parp9",-0.37,0.00246,0.0421
"Yif1a",-0.332,0.00246,0.0421
"Lamc2",0.281,0.00247,0.0423
"Uba2",0.275,0.00247,0.0423
"Eri1",0.232,0.00248,0.0423
"Hdac3",-0.246,0.00248,0.0423
"Ttc33",-0.424,0.00248,0.0423
"Xpo7",0.258,0.00248,0.0423
"Rnf11",-0.336,0.00249,0.0424
"Rpl22",-0.426,0.00249,0.0424
"Ttc13",-0.35,0.00249,0.0424
"Sprr3",0.399,0.00249,0.0424
"Sema4a",-0.302,0.0025,0.0424
"Desi1",0.275,0.00251,0.0426
"Plagl2",0.279,0.00252,0.0427
"Dhrs7b",-0.34,0.00252,0.0427
"Slc25a5",-0.55,0.00253,0.0427
"Lyrm5",-0.594,0.00254,0.0429
"Rdh11",-0.455,0.00254,0.0429
"Ugt2b34",-0.308,0.00254,0.0429
"Ptpra",-0.332,0.00255,0.0429
"Cdadc1",0.271,0.00255,0.0429
"Hmgcs2",0.303,0.00255,0.0429
"Hdc",0.266,0.00256,0.043
"Tmem234",0.312,0.00257,0.0431
"Mrps2",-0.465,0.00257,0.0431
"Prepl",0.284,0.00257,0.0432
"Cmbl",-0.35,0.00258,0.0432
"Sae1",-0.272,0.0026,0.0436
"Cask",0.406,0.00261,0.0436
"Polr1a",0.246,0.00261,0.0436
"Iqcc",0.257,0.00263,0.0439
"Cd5l",-0.699,0.00264,0.0441
"Usp45",0.308,0.00265,0.0441
"Mmp9",0.278,0.00265,0.0441
"Tmem184c",-0.531,0.00265,0.0441
"Itfg1",-0.373,0.00265,0.0441
"Pde4b",-0.448,0.00266,0.0442
"Mup3",0.645,0.00267,0.0442
"Wdtc1",0.314,0.00268,0.0443
"Uck1",-0.273,0.00268,0.0444
"Rassf8",0.274,0.00268,0.0444
"Chmp4b",-0.261,0.00269,0.0444
"Sephs1",0.314,0.0027,0.0445
"Tiam2",0.303,0.00271,0.0447
"Ddc",-0.579,0.00274,0.0451
"L3hypdh",-0.361,0.00275,0.0454
"Rnf144a",-0.222,0.00276,0.0455
"Decr1",-0.318,0.00277,0.0456
"Stam2",0.278,0.00278,0.0456
"Mib1",0.261,0.00278,0.0456
"Nfic",0.372,0.00278,0.0456
"Mfsd14a",0.296,0.00279,0.0456
"H2afz",0.37,0.00279,0.0456
"Cacna2d2",0.236,0.00279,0.0456
"Prom1",0.377,0.00279,0.0456
"Zp3r",0.234,0.0028,0.0457
"Gnpnat1",-0.471,0.0028,0.0457
"Aqr",0.265,0.00282,0.046
"Arhgef10",0.214,0.00282,0.046
"Rnpepl1",-0.281,0.00283,0.046
"Ak6///Taf9",0.395,0.00283,0.046
"Epb41l5",0.332,0.00283,0.046
"Hbb-bh1",0.286,0.00284,0.0461
"Csrp2",-0.284,0.00286,0.0464
"Klhl20",0.29,0.00286,0.0464
"Lrrc40",-0.343,0.00287,0.0464
"Gorasp1",-0.358,0.00288,0.0465
"Ralb",-0.3,0.00288,0.0465
"Ube2d1",-0.377,0.00288,0.0465
"Pik3r1",0.254,0.0029,0.0468
"Ndst1",0.254,0.00291,0.0469
"Npff",0.218,0.00292,0.047
"Chchd6",-0.291,0.00293,0.0471
"Hnrnpk",-0.244,0.00294,0.0472
"Eif2s1",-0.245,0.00296,0.0474
"Adi1",1.31,0.00298,0.0478
"Per1",0.373,0.00298,0.0478
"Psmf1",-0.276,0.00299,0.0479
"Zbed6///Zc3h11a",0.319,0.003,0.0479
"Zfp688",0.296,0.003,0.0479
"Ccdc86",-0.303,0.003,0.0479
"Rnf208",0.325,0.00301,0.048
"Ggcx",-0.491,0.00301,0.048
"Gm38422///Zfp64",0.287,0.00301,0.048
"Pip5k1a",0.294,0.00302,0.0481
"Slc37a4",-0.36,0.00302,0.0481
"Smad5",0.202,0.00302,0.0481
"Lyz2",-0.951,0.00303,0.0482
"Egln3",-0.383,0.00304,0.0483
"Wasf3",0.262,0.00305,0.0483
"Dpp4",-0.458,0.00305,0.0483
"Lypla2",0.23,0.00305,0.0483
"Atp11b",0.292,0.00307,0.0486
"H2-L///H2-D1",-0.36,0.00308,0.0487
"Tmem37",0.206,0.00309,0.0487
"Atxn10",-0.474,0.00309,0.0487
"Cd99",-0.25,0.00309,0.0487
"Exoc6///Sh3glb1",0.424,0.00309,0.0487
"Mcl1",-0.381,0.0031,0.0488
"Pygl",-0.527,0.0031,0.0488
"Tcn2",-0.213,0.00311,0.0488
"Gosr2",-0.283,0.00311,0.0488
"Capzb",-0.238,0.00311,0.0488
"Cacybp",0.468,0.00312,0.0489
"Atp11a",0.216,0.00313,0.049
"Tspan31",-0.241,0.00313,0.049
"Btn1a1",-0.931,0.00315,0.0492
"Map2k2",0.22,0.00315,0.0492
"Rbl2",-0.381,0.00315,0.0492
"F2",0.243,0.00315,0.0492
"Pkig",-0.493,0.00316,0.0492
"S100a13",-0.213,0.00316,0.0493
"Coq9",-0.239,0.00317,0.0494
"Rtp4",-0.426,0.00317,0.0494
"Pafah1b2",0.228,0.00319,0.0496
"Ap3m1",-0.334,0.0032,0.0497
"Jag2",0.293,0.00321,0.0498
"Psip1",0.442,0.00322,0.0499
"Hhex",0.637,0.00322,0.0499
"As3mt",-0.45,0.00323,0.0499
"Galk2",-0.283,0.00323,0.05
"Rcbtb2",-0.269,0.00325,0.0503
"Gak",0.211,0.00326,0.0504
"Cotl1",-0.372,0.00327,0.0504
"Gimap6",0.366,0.00327,0.0504
"Mrpl15",-0.331,0.00327,0.0504
"Cfap157",0.23,0.00329,0.0506
